Date,Adj Close
29.09.2008,52.03
30.09.2008,53.36
01.10.2008,55.06
02.10.2008,53.52
03.10.2008,52.09
06.10.2008,49.43
07.10.2008,47.54
08.10.2008,46.19
09.10.2008,45.04
10.10.2008,46.14
13.10.2008,49.51
14.10.2008,48.45
15.10.2008,44.58
16.10.2008,47.1
17.10.2008,46.53
20.10.2008,49.16
21.10.2008,47.68
22.10.2008,46.86
23.10.2008,48.07
24.10.2008,45.89
27.10.2008,44.77
28.10.2008,48.97
29.10.2008,49.45
30.10.2008,50.05
31.10.2008,50.1
03.11.2008,49.32
04.11.2008,49.97
05.11.2008,48.43
06.11.2008,46.85
07.11.2008,47.97
10.11.2008,48.85
11.11.2008,48.68
12.11.2008,46.72
13.11.2008,48.65
14.11.2008,48.54
17.11.2008,48.09
18.11.2008,48.87
19.11.2008,47.95
20.11.2008,45.76
21.11.2008,47.7
24.11.2008,48.01
25.11.2008,49.13
26.11.2008,50.52
28.11.2008,51.26
01.12.2008,49.01
02.12.2008,49.78
03.12.2008,51.96
04.12.2008,53.09
05.12.2008,54.73
08.12.2008,53.16
09.12.2008,52.07
10.12.2008,53.8
11.12.2008,53.11
12.12.2008,52.87
15.12.2008,52.95
16.12.2008,54.9
17.12.2008,54.65
18.12.2008,53.48
19.12.2008,52.63
22.12.2008,53.57
23.12.2008,52.92
24.12.2008,53.47
26.12.2008,53.28
29.12.2008,52.68
30.12.2008,53.87
31.12.2008,54.26
02.01.2009,55.62
05.01.2009,55.46
06.01.2009,54.22
07.01.2009,53.43
08.01.2009,52.81
09.01.2009,52.41
12.01.2009,52.49
13.01.2009,51.76
14.01.2009,50.02
15.01.2009,50.59
16.01.2009,52.06
20.01.2009,49.8
21.01.2009,51.22
22.01.2009,51.24
23.01.2009,50.62
26.01.2009,50.96
27.01.2009,51.06
28.01.2009,51.65
29.01.2009,50.73
30.01.2009,50.62
02.02.2009,50.52
03.02.2009,51.38
04.02.2009,50.49
05.02.2009,50.92
06.02.2009,51.01
